name,speed,spin,tackiness,overall,price,ratings,brand
Galaxy 9000E,7.5,9,6,7.9,7,4,Galaxy (Yinhe/Milkyway)
Galaxy Apollo,8.1,9,7.6,8.6,20,21,Galaxy (Yinhe/Milkyway)
Galaxy Apollo 5,9.2,9.5,4.6,9.3,29,15,Galaxy (Yinhe/Milkyway)
Galaxy Apollo II,8.5,8.8,2.8,8.8,17,6,Galaxy (Yinhe/Milkyway)
Galaxy Apollo III,8.2,9.2,8.6,8.3,19,10,Galaxy (Yinhe/Milkyway)
Galaxy Big Dipper,8.5,8.8,5.2,8.7,25,34,Galaxy (Yinhe/Milkyway)
Galaxy Big Dipper IV,6.5,7,8,6,18,1,Galaxy (Yinhe/Milkyway)
Galaxy Earth,7.4,9,7.7,8.4,13,6,Galaxy (Yinhe/Milkyway)
Galaxy Earth 2,8.8,8.5,5,9,18,5,Galaxy (Yinhe/Milkyway)
Galaxy Jupiter,8.7,9.2,4.8,8.9,21,8,Galaxy (Yinhe/Milkyway)
Galaxy Jupiter II,8.6,8.4,6.7,8.4,16,13,Galaxy (Yinhe/Milkyway)
Galaxy M-Star,7.5,9.5,5,9.1,15,1,Galaxy (Yinhe/Milkyway)
Galaxy Mars,8,8.3,5.6,8.5,12,5,Galaxy (Yinhe/Milkyway)
Galaxy Mars V2,8.6,8.4,2,8.5,13,29,Galaxy (Yinhe/Milkyway)
Galaxy Mercury,6.7,7.7,3.4,7.3,6,5,Galaxy (Yinhe/Milkyway)
Galaxy Mercury II,8.6,8.9,6.2,8.8,8,72,Galaxy (Yinhe/Milkyway)
Galaxy Mercury III EURO,9.3,9.2,0.8,9.4,13,5,Galaxy (Yinhe/Milkyway)
Galaxy Moon,8.7,8.6,1.9,8.8,16,62,Galaxy (Yinhe/Milkyway)
Galaxy Moon Pro,9,9.3,6,9.2,30,38,Galaxy (Yinhe/Milkyway)
Galaxy Moon Speed,8.6,8,2.5,8.7,18,16,Galaxy (Yinhe/Milkyway)
Galaxy Saturn,8.3,9,6.5,9.6,29,4,Galaxy (Yinhe/Milkyway)
Galaxy Saturn Pro,8.6,9.3,5.8,8.8,20,9,Galaxy (Yinhe/Milkyway)
Galaxy Sun,9,9,2,9,16,36,Galaxy (Yinhe/Milkyway)
Galaxy Sun Pro,9,9.3,7.4,9.2,30,8,Galaxy (Yinhe/Milkyway)
Galaxy Venus,8,8.3,3.6,7.9,16,16,Galaxy (Yinhe/Milkyway)
Galaxy Venus 2,8.4,8.8,7.4,9.2,15,21,Galaxy (Yinhe/Milkyway)
Galaxy Venus 3,8.5,8.8,8,8.8,20,2,Galaxy (Yinhe/Milkyway)
Gambler 9,,,,,14,0,Gambler
Gambler 9 Ultra Tack,8.5,8.7,5,8.5,14,1,Gambler
Gambler Aces,8.2,8.1,6,8.2,14,6,Gambler
Gambler Aces Pro,6,5,2,5,14,1,Gambler
Gambler Big Gun,8.8,8.8,2,8.5,14,1,Gambler
Gambler Big Gun (Thors Hammer Sponge),,,,,14,0,Gambler
Gambler Big Gun Oh-Toro,,,,,15,0,Gambler
Gambler Burst,8.4,8.9,6,8.9,14,3,Gambler
Gambler Burst (Thors Hammer Sponge),9,9,8,9,14,2,Gambler
Gambler Burst Oh-Toro,,,,,15,0,Gambler
Gambler Four Kings,6.7,8.1,5.8,8.1,14,8,Gambler
Gambler Four Kings Pro,,,,,14,0,Gambler
Gambler GXM (White Sponge),,,,,14,0,Gambler
Gambler Mech-Tek Predator,9,9.5,0,9.5,14,3,Gambler
Gambler Mech-Tek Predator Oh-Toro,,,,,15,0,Gambler
Gambler Nine Ultra Tack,9.3,9.5,5,9.3,14,2,Gambler
Gambler Outlaw (Lavender Sponge Tuned),8.1,7.8,1.3,8,14,8,Gambler
Gambler Outlaw (Soft Yellow Sponge Tuned),7.8,8.5,10,9.3,14,1,Gambler
Gambler Outlaw (Tuned),8.9,8.2,1.6,8.3,14,40,Gambler
Gambler Outlaw Pro,,,,,22,0,Gambler
Gambler Reflectoid,5.4,8,7.2,8.5,14,23,Gambler
Gambler Sevens Pro,8.5,8.5,5,8.5,14,1,Gambler
Gambler Shadow,6,8,6.5,7.8,14,2,Gambler
Gambler Six Shooter,7.2,7.3,1,7.8,14,7,Gambler
Gambler Six Shooter (Pre-Tuned),6.9,6.8,1.6,5.7,14,6,Gambler
Gambler Six Shooter AMP Classic,,,,,14,0,Gambler
Gambler Six Shooter AMP Lavender,8,8,0,6,14,1,Gambler
Gambler Six Shooter AMP Soft,,,,,14,0,Gambler
Gambler Six Shooter Magnum,8,8,0,8,14,1,Gambler
Gambler Six Shooter Pro,,,,,22,0,Gambler
Gambler Volt-T Oh-Toro,,,,,18,0,Gambler
Gambler Wraith (Wrath),8.3,8.4,6.1,8.7,14,9,Gambler
Gambler X3 Diamond,,,,,14,0,Gambler
Gambler X3 Diamond Gearz,,,,,14,0,Gambler
Gambler X3 Diamond Oh-Toro,,,,,15,0,Gambler
Gambler Zero,8.1,8.1,2,8.7,14,1,Gambler
Gambler Zero (Blue Diamond Sponge),,,,,14,0,Gambler
Gambler Zero (Thors Hammer Sponge),,,,,14,0,Gambler
Gewo CS Powerspeed,,,,,23,0,Gewo
Gewo Flexxon,9.2,9.4,2.5,9.5,58,23,Gewo
Gewo Flexxon FX,9,9.2,1.3,9.3,58,15,Gewo
Gewo Flexxon Soft,8.7,9.4,1.7,9.3,58,12,Gewo
Gewo Hype EL Pro 40.0,8.6,9.4,0.9,9.2,52,20,Gewo
Gewo Hype EL Pro 42.5,9,9.3,1.2,9.2,52,23,Gewo
Gewo Hype EL Pro 47.5,9.2,9.1,0.6,9,44,27,Gewo
Gewo Hype KR Pro 47.5,9.5,9.5,2.2,9.4,30,21,Gewo
Gewo Hype XT Pro 40.0,8.5,9.3,1.1,9.2,48,20,Gewo
Gewo Hype XT Pro 50.0,9.3,9.3,2.4,9.4,48,25,Gewo
Gewo Mega Flex Control,7.4,8.7,0.4,9.2,35,12,Gewo
Gewo Nano F Speed,,,,,50,0,Gewo
Gewo Nano S Speed,6,9,10,8,50,1,Gewo
Gewo Nano S Speed Control,,,,,50,0,Gewo
Gewo Nano X-Speed,,,,,50,0,Gewo
Gewo NanoFLEX FT40,8.6,9.4,1.2,9.4,60,20,Gewo
Gewo NanoFLEX FT45,9.1,9.5,0.7,9.4,45,14,Gewo
Gewo NanoFlex FT48,9.4,9.4,0.9,9.4,55,24,Gewo
Gewo Neoflexx EFT 40,6.7,8.9,2,9.4,,11,Gewo
Gewo Neoflexx EFT 45,7.2,8.8,2.8,9.3,,10,Gewo
Gewo Neoflexx EFT 48,7.9,9.5,2,9.4,32,17,Gewo
Gewo Nexxus EL Pro 38,8.5,9.2,1.1,9.2,53,17,Gewo
Gewo Nexxus EL Pro 43,9,9.4,0.8,9.4,45,17,Gewo
Gewo Nexxus EL Pro 48,9.4,9.3,1.4,9.3,45,19,Gewo
Gewo Nexxus EL Pro 50 Hard,9.4,9.4,0.3,9.4,49,9,Gewo
Gewo Nexxus EL Pro 53 Hard,9.4,9.1,0.8,9.2,60,13,Gewo
Gewo Nexxus XT Pro 48,9.5,9.4,1.5,9.3,55,17,Gewo
Gewo Nexxus XT Pro 50 Hard,9.5,9.1,0.8,9.4,60,9,Gewo
Gewo Proton Neo 325,8,9.3,0.3,9.4,42,12,Gewo
Gewo Proton Neo 375,8.6,9.3,0.4,9.4,42,11,Gewo
Gewo Proton Neo 450,9.1,9.4,0,9.4,40,12,Gewo
Gewo Proton Neo 475,9.4,9.5,0,9.4,,10,Gewo
Gewo Proton XP 325 Soft,8,8.5,0,,50,1,Gewo
Gewo Proton XP 385 Sound,7.7,7.3,1.7,7.3,50,3,Gewo
Gewo Proton XP 450 Turbo,9,8.5,2.5,8.5,50,2,Gewo
Gewo Reflexx Soft,8.2,8.7,2.7,8.6,55,3,Gewo
Gewo Reflexx Sound,9,8.9,3,9.2,55,3,Gewo
Gewo Reflexx Speed,9.1,8.4,1.3,8.9,55,3,Gewo
Gewo Return Drive,6.5,9.7,10,7,,1,Gewo
Gewo Return Pro,,,,,,0,Gewo
Gewo Stratos V2 Energy,8.9,7.5,2,,59,1,Gewo
Gewo Stratos V2 Sound,9,8.9,0,,59,1,Gewo
Gewo Target airTEC,9.2,9,5,8.6,37,2,Gewo
Gewo Target AirTEC FX,,,,,38,0,Gewo
Gewo Target airTEC L,7.4,8.9,2,9,24,4,Gewo
Gewo Target airTEC Ultra Klick,,,,,40,0,Gewo
Gewo Target Energy Clic,,10,,,43,1,Gewo
Gewo Thunderball²,7.5,9.1,5,9.3,15,3,Gewo
Giant Dragon 8088,7.8,8.7,3.5,8.8,23,3,Giant Dragon
Giant Dragon Allround,7.6,8.7,5,9.1,18,6,Giant Dragon
Giant Dragon Guard,5.8,1.3,0,8,20,2,Giant Dragon
Giant Dragon Guard Special,6.1,2.1,0,9,50,3,Giant Dragon
Giant Dragon Guard Super Anti,5.5,4,2,8,30,1,Giant Dragon
Giant Dragon Karate Hard,9.1,8.7,2.1,9,18,7,Giant Dragon
Giant Dragon Karate Soft,8.5,8.6,4.5,8.7,18,8,Giant Dragon
Giant Dragon Karate Soft Purple Sponge (National),10,9.3,5,9.5,5,2,Giant Dragon
Giant Dragon Maxspin,8,8,,8,25,1,Giant Dragon
Giant Dragon Soft Anti,,,,,20,0,Giant Dragon
Giant Dragon Storm National Team,9.4,9.6,4,9.5,60,3,Giant Dragon
Giant Dragon Storm Soft,8.5,9.5,6,9.4,19,3,Giant Dragon
Giant Dragon Submarine,6.4,8.3,5.6,8.6,16,19,Giant Dragon
Giant Dragon Superspin,8.8,9.5,2,9.5,27,1,Giant Dragon
Giant Dragon Superspin G2,7.5,5,2,6,,2,Giant Dragon
Giant Dragon SuperSpin G3 (H45 Tuned),,,,,,0,Giant Dragon
Giant Dragon SuperSpin G3 Gold,7.5,8.9,8,8.5,22,1,Giant Dragon
Giant Dragon SuperSpin G3 Hard,9,8.9,4,8.6,28,6,Giant Dragon
Giant Dragon Superspin G3 Platinum,,,8,,18,1,Giant Dragon
Giant Dragon Superspin G3 S2,8,9.5,8,8.5,18,2,Giant Dragon
Giant Dragon SuperSpin G3 Silver,8.3,9,5,8.2,18,1,Giant Dragon
Giant Dragon SuperSpin G3 Soft,8.4,9.3,7.5,9,25,12,Giant Dragon
Giant Dragon SuperSpin G4 (S30),8.4,8.5,2,8.3,,1,Giant Dragon
Giant Dragon SuperSpin G4 H45,,,,,,0,Giant Dragon
Giant Dragon SuperSpin G4 H48,,,,,20,0,Giant Dragon
Giant Dragon SuperSpin G4 M36,,,,,,0,Giant Dragon
Giant Dragon Superspin G4 M38,,,,,20,0,Giant Dragon
Giant Dragon SuperSpin G4 S32,8.7,8.2,0,8.5,20,1,Giant Dragon
Giant Dragon Superveloce V12 FX,9.2,9,1.6,9,15,9,Giant Dragon
Giant Dragon Superveloce V12 Sound,9,9.2,0,9.2,13,1,Giant Dragon
Giant Dragon TaiChi Hard,8.5,8.5,5,8.8,18,2,Giant Dragon
Giant Dragon TaiChi Soft,8.1,8.4,4,8.5,18,5,Giant Dragon
Giant Dragon TopENERGY Hard,9.4,9.4,8.1,8.8,22,7,Giant Dragon
Giant Dragon TopENERGY Soft,7.8,9.4,4.8,8.4,25,13,Giant Dragon
Giant Dragon TopENERGY V1,,,,,15,0,Giant Dragon
Giant Dragon TopEnergy V2,7.5,8.7,5,8.3,15,3,Giant Dragon
GKI Chelonz Hybridz,7.9,7.4,4.4,8.2,36,8,GKI
GKI Euro Chelonz,7.6,6.9,0.4,6.8,30,7,GKI
GKI Euro Jumbo,7.7,7.7,5,8.6,27,5,GKI
GKI Euro Spintech,8,8.4,2.5,8.1,17,7,GKI
GKI Euro-XX,7.7,7.5,3.3,8.4,16,16,GKI
GKI Hybridz GX,,,,,40,0,GKI
GKI Hybridz GX 2018,9,10,2,9.5,40,1,GKI
GKI Nano Force,8,8,7.5,8,12,2,GKI
Globe 999,7.9,9,6,8.6,8,35,Globe
Globe 999 National,7.8,9.3,6.3,9.2,15,33,Globe
Globe 999 On Air Lemon Sponge,8.5,9.8,8,9.5,12,1,Globe
Globe 999T,7.8,8.6,7.3,8.1,10,10,Globe
Globe Awala Tension,,,,,,0,Globe
Globe Gold Whirlwind (Japanese Sponge),,,,,14,0,Globe
Globe Gold Whirlwind (Soft HQ Sponge),8,10,8,,14,1,Globe
Globe LiQin Japan Sponge,8.5,8.9,6,8.9,,3,Globe
Globe Magic Wand,,,,,15,0,Globe
Globe Prize Li Qin (LQ),8.8,8,2,,14,2,Globe
Globe Taiphoon Gold,7.5,9,6.5,9,14,3,Globe
Goldway 916 Destroyer,6.5,7.5,5,6.5,14,1,Goldway
Goldway 968 Stinger,,,,,14,0,Goldway
Guo Qiu Future Fighter,8.1,8.3,6.8,7.4,10,9,Guo Qiu
Guo Qiu Gong Fu,,,,,14,0,Guo Qiu
Haifu Blue Whale,9.3,9.1,5,9.3,22,4,Haifu
Haifu Blue Whale 2 (soft),8,10,7.5,,20,2,Haifu
Haifu Blue Whale II (2) (Tuned),8.5,7.8,3.7,8.3,23,10,Haifu
Haifu Blue Whale II (2) (Untuned),8.2,9,8,9.1,23,4,Haifu
Haifu Blue Whale II (2) National (Tuned),8.1,8.6,5.8,8.5,40,4,Haifu
Haifu Blue Whale II (2) Provincial (Tuned),9.1,9.2,6.3,9,27,8,Haifu
Haifu Blue Whale III (3) (Tuned),7.5,8.8,6.2,8.5,40,20,Haifu
Haifu Pirates 07,,,,,,0,Haifu
Haifu Pirates 08,,,,,,0,Haifu
Haifu Shark II Soft,9.2,9,2.4,9.1,35,6,Haifu
Haifu Shark III (Red Sponge),9.5,9,2.3,9.1,60,4,Haifu
Haifu Whale II National (Red Sponge),9.8,9.5,7.5,9.5,,2,Haifu
Haifu Whale III (Purple Sponge) Factory Tuned,8.6,8.6,8.7,8.5,50,3,Haifu
Haifu White Shark,8.7,8.1,2,7.7,21,5,Haifu
Haifu White Shark II (2) (Tuned),8.7,8.1,2.2,9.4,26,13,Haifu
Haifu White Shark II (2) (Untuned),8,8.5,0,,22,1,Haifu
Hallmark Green Power,8,8,2,8,,1,Hallmark
Hallmark Mirage,7,0,0,9,40,1,Hallmark
Hallmark Podium,,,,,,0,Hallmark
Huaruite Wujilong,8.5,8,2,8.8,13,1,Huaruite
Huaruite Wujilong R2,7.9,8.8,3.5,,17,2,Huaruite
Imperial 20 One 11,7.6,7.9,0,8.6,20,3,Imperial
Imperial 20 One 45,7.5,10,2,9.1,20,1,Imperial
Imperial Caber Tacky Japan Hard,,,,,15,0,Imperial
Imperial China Classic,,,,,6,0,Imperial
Imperial China Classic Orange Sponge,7.3,8.8,7.7,9.3,7,3,Imperial
Imperial China Classic Special Sponge,5,8,8,8,8,1,Imperial
Imperial Crash,,,,,30,0,Imperial
Imperial Cyber Tacky Japan Medium,7.9,9.1,5,9.5,15,1,Imperial
Imperial Cyber Tacky Japan Soft,7.5,9.1,5,9.4,15,1,Imperial
Imperial Force,,,,,30,0,Imperial
Imperial Force Speed Tension,,,,,40,0,Imperial
Imperial Super Strike,6.3,9.5,1.3,9,30,4,Imperial
Imperial Swift,8.3,8.4,1,8.3,30,4,Imperial
ITC POWERCELL MP,9.5,9.5,2,9.5,53,1,ITC
ITC POWERCELL MP 45,9.5,9.5,2,9.5,53,1,ITC
ITC POWERCELL RS,9.5,9.7,2,9.6,53,2,ITC
ITC POWERCELL RS 45,9.2,9.4,1,9.7,53,2,ITC
ITC Powercell Ultra 48,,,,,57,0,ITC
Japtec All-Around Balance,,,,,11,0,Japtec
Japtec Experience,2,2,,,,1,Japtec
Japtec Performance,7.5,6,,,19,1,Japtec
JOOLA 4 You,6.7,7.3,0.5,8.6,20,10,JOOLA
JOOLA 4-All,6.1,6.2,0.3,8.6,20,8,JOOLA
JOOLA Air! ROSnet,8.9,8,2,8.5,25,10,JOOLA
JOOLA Amy Classic (Anti-spin),5.5,5.7,,,55,2,JOOLA
JOOLA Amy Control (Anti-spin),6,1.7,0,6,55,6,JOOLA
JOOLA Axxess,6.9,7.3,0,8.3,35,1,JOOLA
JOOLA Brave,8.2,8.8,4.9,8.2,50,7,JOOLA
JOOLA Cava,8.8,8.6,6.5,8.5,40,2,JOOLA
JOOLA Drum,8.8,9.4,7.6,9.2,33,7,JOOLA
JOOLA Drum CWX,7.5,9.2,10,8.5,27,2,JOOLA
JOOLA DYNARYZ ACC,9.4,9.6,2,9.6,65,6,JOOLA
JOOLA DYNARYZ AGR,9.7,9.6,2.3,9.4,65,3,JOOLA
JOOLA Echo,7,7,2,8,30,1,JOOLA
JOOLA Energy,7.3,7.6,3.5,8,50,2,JOOLA
JOOLA Energy 325,,,,,49,0,JOOLA
JOOLA Energy Green Power,9,8.5,1.5,9,54,16,JOOLA
JOOLA Energy Green Power X-Soft,8.1,8.4,2,8.6,44,8,JOOLA
JOOLA Energy X-tra (Green Power),8.3,8.5,1.3,9,57,38,JOOLA
JOOLA Express One,9.4,8.8,2.3,9.3,55,41,JOOLA
JOOLA Express Two,8.6,9,2.2,9,65,23,JOOLA
JOOLA Express Ultra,9,6,2,,55,1,JOOLA
JOOLA Express X-plode,9.2,8.8,4.5,9,54,14,JOOLA
JOOLA Express X-Soft,7.7,8.3,0.9,7.9,52,7,JOOLA
JOOLA Fiesta,5,5,0,6,,1,JOOLA
JOOLA Golden Tango PS,8.8,9.4,5.6,9.2,45,5,JOOLA
JOOLA Laser,7,9,0,,,1,JOOLA
JOOLA Mambo,8.1,8.1,2.4,8,37,13,JOOLA
JOOLA Mambo C,9.2,8.6,3.4,9.1,35,9,JOOLA
JOOLA Mambo GP,8.7,7.8,0.8,8.3,48,8,JOOLA
JOOLA Mambo H,8.1,9,4,9,38,24,JOOLA
JOOLA Mambo H Tuning,,,,,47,0,JOOLA
JOOLA Mambo Tuning,,,,,47,0,JOOLA
JOOLA Maxxx 400,9.2,9.3,3.3,9.2,59,8,JOOLA
JOOLA Maxxx 450,9.1,9.1,0.6,9.3,60,12,JOOLA
JOOLA Maxxx 500,9.4,9.3,2.5,9.4,41,16,JOOLA
JOOLA MAXXX-P,9.2,9.3,2.3,9.4,46,26,JOOLA
JOOLA Moskito,,,,5,30,1,JOOLA
JOOLA Moskito M40,,,,,30,0,JOOLA
JOOLA Moskito S35,,,,,30,0,JOOLA
JOOLA Novic,,,,,39,1,JOOLA
JOOLA Orbit ICU,8.5,8,0,8,33,1,JOOLA
JOOLA Phenix (Phoenix),9.2,8.3,2.5,9.1,45,14,JOOLA
JOOLA Phenix 48,8.8,8,1,8.5,59,2,JOOLA
JOOLA Rhyzer 43,8.9,9.1,0.8,9,58,6,JOOLA
JOOLA Rhyzer 48,9.2,9,0.3,8.7,58,9,JOOLA
JOOLA Rhyzer Pro 45,9.2,9.3,2,9.2,60,2,JOOLA
JOOLA Rhyzer Pro 50,9.4,9.4,0.3,9.1,58,6,JOOLA
JOOLA Rhyzm,9.1,9.1,2.3,9.2,40,34,JOOLA
JOOLA Rhyzm 375,9.2,9.3,5,8.7,64,4,JOOLA
JOOLA Rhyzm 425,8.8,9.1,2.5,9.1,65,9,JOOLA
JOOLA Rhyzm Tech,9,9.3,3.3,8.8,65,8,JOOLA
JOOLA Rhyzm-P,9.2,9.4,2.5,9.5,54,43,JOOLA
JOOLA Samba,7.7,8.7,2.4,8.5,38,11,JOOLA
JOOLA Samba 19,,,,,55,0,JOOLA
JOOLA Samba 27,8.8,7.8,5,8.8,55,3,JOOLA
JOOLA Samba Klick,,,,,45,0,JOOLA
JOOLA Samba NTEC,7.8,7.1,1.5,7.4,43,7,JOOLA
JOOLA Samba Tech,9.3,9.1,2,9.2,65,8,JOOLA
JOOLA Samba+,7.6,8.4,1.8,8.1,55,15,JOOLA
JOOLA Smart,6.7,6.7,4.3,6.9,30,5,JOOLA
JOOLA Spring Thunder,,,,8,18,1,JOOLA
JOOLA Tango,8,8,0,8,40,2,JOOLA
JOOLA Tango Defensive,,,,,33,0,JOOLA
JOOLA Tango Extrem,8.7,8.2,4.1,8.8,42,10,JOOLA
JOOLA Tango Golden,9,9.2,6,8.9,50,3,JOOLA
JOOLA Tango Ultra,9,7,0,8,36,1,JOOLA
JOOLA Terminator,9,7,0,7,45,1,JOOLA
JOOLA Timeless (Anti-spin),4.1,2.9,0,8,29,6,JOOLA
JOOLA Toni Hold Anti Topspin,6.3,5.3,4,8.9,48,3,JOOLA
JOOLA Topspin,7,8.5,3.5,8.1,27,3,JOOLA
JOOLA Topspin C,6.2,9.3,7.2,8.4,27,9,JOOLA
JOOLA Turbo,6,6,2,,27,2,JOOLA
JOOLA Upp,7.8,7.8,5.3,7.9,29,4,JOOLA
JOOLA X-Plode,8.8,8.2,4.3,8.7,55,7,JOOLA
JOOLA X-Plode Sensitive,8.5,8.7,2.2,9,60,28,JOOLA
JOOLA Zack,7.9,8.2,2.2,8.5,45,6,JOOLA
Juic 999 Attack,8,8.8,6,8.8,31,3,Juic
Juic 999 Defence,6.1,9.6,9,9.3,31,2,Juic
Juic 999 Elite,7.9,9.2,6.7,8.3,35,7,Juic
Juic 999 Elite Charisma,,,,,35,0,Juic
Juic 999 Elite Defense,5.8,9.4,5.5,9.1,36,6,Juic
Juic 999 Elite Hard Type,7.5,8.5,2,8,31,1,Juic
Juic 999 Elite Nano,8,9.5,3.5,7.7,32,4,Juic
Juic 999 Elite Ultima,8.4,9.1,5.9,8.4,33,7,Juic
Juic 999 Elite Ultima SV,,,,,38,0,Juic
Juic 999 Hard Type,8.4,9,8,8.2,31,1,Juic
Juic 999 Turbo,8.3,9.3,8,9,40,3,Juic
Juic Aircondle,8.7,7.8,1,7.8,48,3,Juic
Juic Aircondle Sound,,,,,46,0,Juic
Juic Aircondle Speed,,,,,46,0,Juic
Juic Couga,9.3,7.1,0.5,8,33,4,Juic
Juic Dany III,,,,,21,0,Juic
Juic Driva Smash,8.6,8.3,2,9,30,2,Juic
Juic Driva Smash Ultima,8.4,8.8,1,8.9,35,2,Juic
Juic Nano Spin,9.2,8.6,2.3,8.9,54,3,Juic
Juic Nano Spin Charisma,,,,,40,0,Juic
Juic Nano Spin Flex,,,,,37,0,Juic
Juic Nano Spin II,9.1,9.1,0,9.3,55,2,Juic
Juic Nano Spin II +S,8,8.5,0,8.2,37,1,Juic
Juic Nano Spin II Charisma,,,,,38,0,Juic
Juic Nanocannon,8.8,8.3,4.8,8.2,35,6,Juic
Juic Neo Anti (Anti-spin),4.5,3.5,0.4,9,32,11,Juic
Juic Scramble,8.3,7.4,1,8.4,34,2,Juic
Juic Scramble 21,8.3,8,2.3,8.2,33,3,Juic
Juic Scramble 21 Ultima,9,7.8,2,8.6,27,2,Juic
Juic Shenron,9,9.1,3.8,8.2,40,5,Juic
Juic Spark,6.5,6,2,7.9,21,1,Juic
Juic Spin Spiel SV,,,,,36,0,Juic
Juic Spin Spiel Ultima,8.2,9,8,8.6,33,3,Juic
Juic SpinSpiel,7.9,9.3,8,8.5,31,6,Juic
Juic T+FV,,,,,38,0,Juic
Juic T+PV,,,,,38,0,Juic
Juic Varites,8.7,7.8,1.8,8.5,40,6,Juic
Killerspin 415,,,,,36,0,Killerspin
Killerspin Blast,9.8,6.8,1.3,7.5,50,3,Killerspin
Killerspin Fortissimo,9.5,9.1,2.7,9.5,52,28,Killerspin
Killerspin Forza,,,,,23,0,Killerspin
Killerspin Forza 4z,7.8,7.8,2.5,10,36,2,Killerspin
Killerspin Fury,9.6,7.8,0,8.5,32,2,Killerspin
Killerspin GT,7.5,9,9,9,36,2,Killerspin
Killerspin GT2,7,9.5,10,,30,2,Killerspin
Killerspin Nitrx,,,,,23,0,Killerspin
Killerspin Nitrx 4z,8.6,8.2,3.1,8.2,23,8,Killerspin
Killerspin Nitrx 5z,9.4,9.2,3.5,9.3,36,2,Killerspin
Kokutaku 007,7.8,9,7.6,8.7,10,7,Kokutaku
Kokutaku 007 40+,,,,,12,0,Kokutaku
Kokutaku 007 Inner Power,,,,,22,0,Kokutaku
Kokutaku 007 Japanese Sponge,,,,,20,1,Kokutaku
Kokutaku 007 Pro. Selected,8.4,9.2,6.8,9.1,25,6,Kokutaku
Kokutaku 007 Super Light,6.8,9.4,5,8.3,13,2,Kokutaku
Kokutaku 868,8.2,8.1,5.6,8.3,10,12,Kokutaku
Kokutaku 868 (1 Pair Black Packaging),7.7,8.1,2,8,10,1,Kokutaku
Kokutaku 868 40+,,,,,10,0,Kokutaku
Kokutaku 868 Defence,,,,,20,0,Kokutaku
Kokutaku 868 Spin Power,8.5,9.5,8,,18,1,Kokutaku
Kokutaku 868 Training Rubber,7.8,8.5,5.4,8.9,6,10,Kokutaku
Kokutaku Blutenkirsche 868 Tokyo,8.5,8.2,1.1,8.4,12,10,Kokutaku
Kokutaku Blutenkirsche 868 Tokyo Super Tacky (yellow Pack),6,6.2,8.5,7.3,13,4,Kokutaku
Kokutaku BLutenkirsche 868 Tokyo Super Tacky Japanese,7.5,8.8,7.6,8.3,10,10,Kokutaku
Kokutaku Blutenkirssche Blue Sponge,,,,,14,0,Kokutaku
Kokutaku Explosion Blutenkirsche 868,8,9,7.4,8,14,8,Kokutaku
Kokutaku Spec V,,,,,41,0,Kokutaku
Kokutaku Synchron,8,8,8,,20,1,Kokutaku
Kokutaku Tokyo 868,8.2,8.9,7.3,8.3,10,9,Kokutaku
Kokutaku Tulpe 007 Chinese Sponge,8.6,8.9,8,8.7,13,1,Kokutaku
Kokutaku Tuple 007 Non-Tacky,8.8,8.6,1.2,8.7,20,6,Kokutaku
Kokutaku Tuple 007 Tacky,8.5,8.3,5,8.3,20,4,Kokutaku
Kokutaku Tuple 007 Taiwan,8,8,8,8,5,1,Kokutaku
KTL (LKT) Black Power,8.3,7.8,3.3,8.2,14,12,KTL (LKT - Li Kuang Tsu)
KTL (LKT) Black Power (Golden Cake Sponge),8.1,7.6,6.3,7.5,14,4,KTL (LKT - Li Kuang Tsu)
KTL (LKT) Golden Star Attack,,,,,22,0,KTL (LKT - Li Kuang Tsu)
KTL (LKT) Golden Star HS Drive,,,,,22,0,KTL (LKT - Li Kuang Tsu)
KTL (LKT) Golden Star Loop,7.9,7.9,0.7,8.1,22,6,KTL (LKT - Li Kuang Tsu)
KTL (LKT) Pro XP,7.5,8.7,4.9,8.8,14,37,KTL (LKT - Li Kuang Tsu)
KTL (LKT) Pro XP Gold Dragon,7.7,7.5,0.4,7,8,6,KTL (LKT - Li Kuang Tsu)
KTL (LKT) Pro XP Red Dragon,8.4,8.6,2,8.5,17,3,KTL (LKT - Li Kuang Tsu)
KTL (LKT) Pro XT,7.4,8.6,6.9,8.3,14,36,KTL (LKT - Li Kuang Tsu)
KTL (LKT) Pro XT Green Dragon,8.9,8.9,2,,17,1,KTL (LKT - Li Kuang Tsu)
KTL (LKT) Pro XT Silver Dragon,8.9,8.8,6.5,9.1,20,19,KTL (LKT - Li Kuang Tsu)
KTL (LKT) Rapid Power,7.4,7.7,2.6,8.3,14,5,KTL (LKT - Li Kuang Tsu)
KTL (LKT) Rapid Soft,7.3,8.3,4.7,8.6,11,19,KTL (LKT - Li Kuang Tsu)
KTL (LKT) Rapid Sound,7.7,8.4,2.9,8.6,14,13,KTL (LKT - Li Kuang Tsu)
KTL (LKT) Rapid Speed,8.4,8.5,3.2,8.7,14,55,KTL (LKT - Li Kuang Tsu)
KTL (LKT) Red Diamond,8.6,8.9,5.3,9.1,14,28,KTL (LKT - Li Kuang Tsu)
KTL (LKT) Red Diamond (Golden Cake Sponge),8,8.3,6,7.7,14,11,KTL (LKT - Li Kuang Tsu)
KTL (LKT) Red Diamond Mechanical,9,9,2,8.5,22,3,KTL (LKT - Li Kuang Tsu)
KTL (LKT) Torrent,7.4,8.3,4.9,8,14,16,KTL (LKT - Li Kuang Tsu)
